county,license_id,provider_type,provider_name,address,city,zip,phone,email,ages_served,capacity
Atlantic,CCC129486,Child Care Center,Egg Harbor Township Schools Bargaintown Preschool,3393 Bargaintown Road,Egg Harbor Township,08234,(609) 926-1061,Enrichment@eht.k12.nj.us,2 1/2 - 6 years,190.0
Atlantic,CCC126494,Child Care Center,Bright Scholars Learning Center LLC,2594 Tilton Road,Egg Harbor Township,08234,(609) 553-6856,brightscholars01@gmail.com,0 - 13 years,52.0
Atlantic,CCC123753,Child Care Center,Abuela's Preschool Daycare LLC,113 Hickory Street,Egg Harbor Township,08234,(609) 384-6725,abuelasdaycare01@gmail.com,0 - 13 years,22.0
Atlantic,CCC123272,Child Care Center,Tiny Town Playhouse LLC,"333 Tilton Road, Unit #3",Northfield,08225,(609) 568-5099,tinytownplayhousenjllc@gmail.com,2 1/2 - 13 years,26.0
Atlantic,CCC122274,Child Care Center,Little Sprouts Learning Center,5034 Wellington Avenue,Ventnor,08406,(609) 833-6990,littlesproutslearningnj@gmail.com,0 - 13 years,50.0
Atlantic,CCC121482,Child Care Center,Little Sunshine's Academy,48 Mill Street,Mays Landing,08330,(609) 561-8058,littlesunshinesac@yahoo.com,0 - 13 years,53.0
Atlantic,CCC121405,Child Care Center,Kingdom Academy,6801 Delilah Road,Egg Harbor Township,08234,(609) 484-9439,kingdomacademynj@gmail.com,2 1/2 - 13 years,25.0
Atlantic,CCC120665,Child Care Center,Adventures in Learning,1812 Marmora Ave,Atlantic City,08401,(609) 348-3883,director@adventureskidz.com,0 - 13 years,45.0
Atlantic,CCC119757,Child Care Center,"Learning Advantage Academy LLC, DBA Children Academy",2400 New Road,Northfield,08225,(609) 404-4700,owner@childrenacademynj.com,0 - 13 years,154.0
Atlantic,CCC118723,Child Care Center,GSA Northfield LLC,2323 New Road,Northfield,08225,(609) 241-1304,gsanorthfield@gardenstateacademy.com,0 - 13 years,75.0
Atlantic,CCC118268,Child Care Center,The Center,119 West Bayview Avenue,Pleasantville,08232,(609) 380-7659,100futureleaders@gmail.com,6 - 13 years,59.0
Atlantic,CCC118132,Child Care Center,Cumberland Cape Atlantic YMCA @ Jordan Road School,129 Jordan Road,Somers Point,08244,(856) 691-0030,childcare@ccaymca.org,2 1/2 - 13 years,80.0
Atlantic,CCC118131,Child Care Center,Cumberland Cape Atlantic YMCA @ Dawes Avenue School,22 West Dawes Avenue,Somers Point,08244,(856) 691-0030,childcare@ccaymca.org,2 1/2 - 13 years,100.0
Atlantic,CCC117947,Child Care Center,"The Purple Crayon Early Learning Center, LLC",6048 Delilah Road,Egg Harbor Township,08234,(609) 380-7357,monica@purplecrayonec.com,0 - 6 years,61.0
Atlantic,CCC117900,Child Care Center,TreeTops Learning Center LLC,4805 Nawakwa Boulevard,Mays Landing,08330,(609) 625-9487,TreeTopsLearningCenter@gmail.com,0 - 13 years,30.0
Atlantic,CCC117878,Child Care Center,Bizzy Bee'z Creative Learning Center,914 New Road,Northfield,08225,(609) 568-6012,BizzyBeezCreativeLearning@gmail.com,2 1/2 - 13 years,30.0
Atlantic,CCC117766,Child Care Center,Kids' Choice Academy LLC,408 East Jimmie Leeds Road,Galloway,08205,(609) 652-4181,Kidschoiceacademy@verizon.net,0 - 13 years,101.0
Atlantic,CCC114093,Child Care Center,Tiny Hands Adams Ave LLC,723 West Adams Avenue,Pleasantville,08232,(609) 892-4741,TonyTaylor36@gmail.com,2 1/2 - 13 years,51.0
Atlantic,CCC113961,Child Care Center,Big PAL's Before & After Care,2590 Ridge Avenue,Egg Harbor Township,08234,(609) 645-8413,ehtpal@comcast.net,6 - 13 years,45.0
Atlantic,181200208,Child Care Center,Boys & Girls Club of Atlantic City,227 N. Sovereign Ave,Atlantic City,08401,(609) 347-2697,ctorres@acbgc.org,6 - 13 years,75.0
Atlantic,180800119,Child Care Center,Partners in Learning Private Preschool at Northfield,408 New Road,Northfield,08225,(609) 377-8337,dinardok@pilnj.org,2 1/2 - 13 years,25.0
Atlantic,180500085,Child Care Center,Pomona Preschool,400 South Genoa Avenue,Pomona,08240,(609) 748-1250,lovelandt@gtps.k12.nj.us,2 1/2 - 6 years,64.0
Atlantic,180300026,Child Care Center,All God's Children Daycare-Preschool,104 South Auburn Street,Landisville,08326,(856) 500-6864,allgodschildren1234@gmail.com,2 1/2 - 13 years,30.0
Atlantic,180200060,Child Care Center,Miller School,2 Aldler Avenue,Egg Harbor Township,08234,(609) 646-8441,Enrichment@eht.k12.nj.us,2 1/2 - 13 years,300.0
Atlantic,180200057,Child Care Center,Swift Drive Complex,11 Swift Drive,Egg Harbor Township,08234,(609) 646-8441,Enrichment@eht.k12.nj.us,2 1/2 - 13 years,220.0
Atlantic,180200050,Child Care Center,Davenport Complex,2499 Spruce Avenue,Egg Harbor Township,08234,(609) 646-8441,Enrichment@eht.k12.nj.us,6 - 13 years,100.0
Atlantic,180100172,Child Care Center,Tiny Tots Academy,6701 Black Horse Pike,Egg Harbor Township,08234,(609) 377-5625,TinyTotsAcademy0218@gmail.com,0 - 13 years,146.0
Atlantic,180100104,Child Care Center,Smithville Elementary School Child Care Program,37 South Old Port Road,Galloway,08205,(609) 748-2287,lovelandt@gtps.k12.nj.us,6 - 13 years,50.0
Atlantic,180100103,Child Care Center,Roland Rogers Elementary School Child Care Program,105 South Reeds Road,Galloway,08205,(609) 748-2295,lovelandt@gtps.k12.nj.us,6 - 13 years,50.0
Atlantic,180100102,Child Care Center,Reeds Road Elementary School Child Care Program,103 South Reeds Road,Galloway,08205,(609) 748-1250,lovelandt@gtps.k12.nj.us,6 - 13 years,50.0
Atlantic,180100101,Child Care Center,Arthur Rann Elementary School Child Care Program,515 South Eighth Avenue,Galloway,08205,(609) 748-1250,lovelandt@gtps.k12.nj.us,6 - 13 years,50.0
Atlantic,171200233,Child Care Center,Brigantine Board Of Education,301 East Evans Boulevard,Brigantine,08203,(609) 266-3632,klipshutz@brigantineschools.org,2 1/2 - 13 years,150.0
Atlantic,171200170,Child Care Center,After School Child Care PALS,800 Irelan Avenue,Absecon,08201,(609) 641-5375,Stars@abseconschools.org,2 1/2 - 13 years,180.0
Atlantic,171200169,Child Care Center,Folsom SACC Program,1357 Mays Landing Road,Folsom,08037,(609) 561-8666,mhetzel@folsomschool.org,2 1/2 - 13 years,88.0
Atlantic,171200137,Child Care Center,Hamilton Twp Schools Kids Corner Shaner Elementary School,5801 Third Street,Mays Landing,08330,(609) 476-6311,melderc@hamiltonschools.org,2 1/2 - 13 years,100.0
Atlantic,171200136,Child Care Center,Hamilton Twp Schools Kids Corner Hess Education Complex,700 Babcock Road,Mays Landing,08330,(609) 476-6311,melderc@hamiltonschools.org,6 - 13 years,150.0
Atlantic,170900166,Child Care Center,Atlantic Christian School,391 Zion Road,Egg Harbor Township,08234,(609) 653-1199,teresajbird@acseht.org,0 - 13 years,180.0
Atlantic,170800156,Child Care Center,Cumberland Cape Atlantic YMCA at Spragg School,601 Buffalo Avenue,Egg Harbor City,08215,(856) 691-0030,childcare@ccaymca.org,2 1/2 - 13 years,55.0
Atlantic,160700115,Child Care Center,Cumberland Cape Atlantic YMCA SACC at Cleary Elementary,1501 Central Avenue,Minotola,08341,(856) 691-0030,tbooth@ccaymca.org,6 - 13 years,30.0
Atlantic,160700114,Child Care Center,Cumberland Cape Atlantic YMCA at Milanesi Elementary,880 Harding Highway,Buena Vista,08310,(856) 691-0030,tbooth@ccaymca.org,2 1/2 - 13 years,60.0
Atlantic,160600156,Child Care Center,Alpha & Omega Childcare,"6690 Blackhorse Pike #5, 6, 7, 8",Egg Harbor Township,08234,(609) 484-7601,lilmino2005@aim.com,0 - 13 years,84.0
Atlantic,160600029,Child Care Center,Pleasantville Head Start II,49 South Main Street,Pleasantville,08232,(609) 241-6663,zansari@gatewaycap.org,0 - 6 years,60.0
Atlantic,160600028,Child Care Center,Gateway Head Start Early Education Center,1433 Bacharach Boulevard,Atlantic City,08401,(609) 487-4544,aazad@gatewaycap.org,0 - 13 years,292.0
Atlantic,160500022,Child Care Center,ACCC Gateway Early Learning Center,5046 Black Horse Pike,Mays Landing,08330,(609) 837-0021,oclark@gatewaycap.org,0 - 6 years,98.0
Atlantic,160200006,Child Care Center,AtlantiCare Kids,225 W. Washington Avenue,Pleasantville,08232,(609) 641-9309,rlerner@atlanticare.org,6 - 13 years,60.0
Atlantic,160200005,Child Care Center,AtlantiCare Kids,701 South Main Street,Pleasantville,08232,(609) 641-9309,rlerner@atlanticare.org,2 1/2 - 13 years,60.0
Atlantic,151000221,Child Care Center,Buena Vista Head Start,661 Jackson Road,Newtonville,08346,(856) 392-6933,beggen@gatewaycorp.org,2 1/2 - 6 years,30.0
Atlantic,150900129,Child Care Center,"Tiny Hands Learning Center Pleasantville, LLC",101 West Delilah Road,Pleasantville,08232,(609) 380-4841,kiratinyh@gmail.com,0 - 13 years,53.0
