name,address,city,state,zip_code,county,license_number,phone,email,provider_type_raw,type,ages_served_raw,age_min_months,age_max_months,age_range_min,age_range_max,capacity,slug,source,source_url,source_as_of_date,is_verified_by_gov,is_profile_public,lat,lng,geocode_status
Egg Harbor Township Schools Bargaintown Preschool,3393 Bargaintown Road,Egg Harbor Township,NJ,08234,Atlantic,CCC129486,+16099261061,enrichment@eht.k12.nj.us,Child Care Center,daycare,2 1/2 - 6 years,30,72,30,72,190.0,egg-harbor-township-schools-bargaintown-preschool-egg-harbor-township-nj-9016da,NJ_DCF,https://www.nj.gov/dcf/about/divisions/ol/NJDCF-Licensed-Child-Care-Centers.pdf,2025-08-01,True,True,,,NONE
Bright Scholars Learning Center LLC,2594 Tilton Road,Egg Harbor Township,NJ,08234,Atlantic,CCC126494,+16095536856,brightscholars01@gmail.com,Child Care Center,daycare,0 - 13 years,0,156,0,156,52.0,bright-scholars-learning-center-llc-egg-harbor-township-nj-087e17,NJ_DCF,https://www.nj.gov/dcf/about/divisions/ol/NJDCF-Licensed-Child-Care-Centers.pdf,2025-08-01,True,True,,,NONE
Abuela's Preschool Daycare LLC,113 Hickory Street,Egg Harbor Township,NJ,08234,Atlantic,CCC123753,+16093846725,abuelasdaycare01@gmail.com,Child Care Center,daycare,0 - 13 years,0,156,0,156,22.0,abuela-s-preschool-daycare-llc-egg-harbor-township-nj-9d713b,NJ_DCF,https://www.nj.gov/dcf/about/divisions/ol/NJDCF-Licensed-Child-Care-Centers.pdf,2025-08-01,True,True,,,NONE
Tiny Town Playhouse LLC,"333 Tilton Road, Unit #3",Northfield,NJ,08225,Atlantic,CCC123272,+16095685099,tinytownplayhousenjllc@gmail.com,Child Care Center,daycare,2 1/2 - 13 years,30,156,30,156,26.0,tiny-town-playhouse-llc-northfield-nj-4566ee,NJ_DCF,https://www.nj.gov/dcf/about/divisions/ol/NJDCF-Licensed-Child-Care-Centers.pdf,2025-08-01,True,True,,,NONE
Little Sprouts Learning Center,5034 Wellington Avenue,Ventnor,NJ,08406,Atlantic,CCC122274,+16098336990,littlesproutslearningnj@gmail.com,Child Care Center,daycare,0 - 13 years,0,156,0,156,50.0,little-sprouts-learning-center-ventnor-nj-7ef0b8,NJ_DCF,https://www.nj.gov/dcf/about/divisions/ol/NJDCF-Licensed-Child-Care-Centers.pdf,2025-08-01,True,True,,,NONE
Little Sunshine's Academy,48 Mill Street,Mays Landing,NJ,08330,Atlantic,CCC121482,+16095618058,littlesunshinesac@yahoo.com,Child Care Center,daycare,0 - 13 years,0,156,0,156,53.0,little-sunshine-s-academy-mays-landing-nj-7576a8,NJ_DCF,https://www.nj.gov/dcf/about/divisions/ol/NJDCF-Licensed-Child-Care-Centers.pdf,2025-08-01,True,True,,,NONE
Kingdom Academy,6801 Delilah Road,Egg Harbor Township,NJ,08234,Atlantic,CCC121405,+16094849439,kingdomacademynj@gmail.com,Child Care Center,daycare,2 1/2 - 13 years,30,156,30,156,25.0,kingdom-academy-egg-harbor-township-nj-79ac1d,NJ_DCF,https://www.nj.gov/dcf/about/divisions/ol/NJDCF-Licensed-Child-Care-Centers.pdf,2025-08-01,True,True,,,NONE
Adventures in Learning,1812 Marmora Ave,Atlantic City,NJ,08401,Atlantic,CCC120665,+16093483883,director@adventureskidz.com,Child Care Center,daycare,0 - 13 years,0,156,0,156,45.0,adventures-in-learning-atlantic-city-nj-0e19fc,NJ_DCF,https://www.nj.gov/dcf/about/divisions/ol/NJDCF-Licensed-Child-Care-Centers.pdf,2025-08-01,True,True,,,NONE
"Learning Advantage Academy LLC, DBA Children Academy",2400 New Road,Northfield,NJ,08225,Atlantic,CCC119757,+16094044700,owner@childrenacademynj.com,Child Care Center,daycare,0 - 13 years,0,156,0,156,154.0,learning-advantage-academy-llc-dba-children-academy-northfield-nj-63830e,NJ_DCF,https://www.nj.gov/dcf/about/divisions/ol/NJDCF-Licensed-Child-Care-Centers.pdf,2025-08-01,True,True,,,NONE
GSA Northfield LLC,2323 New Road,Northfield,NJ,08225,Atlantic,CCC118723,+16092411304,gsanorthfield@gardenstateacademy.com,Child Care Center,daycare,0 - 13 years,0,156,0,156,75.0,gsa-northfield-llc-northfield-nj-56858a,NJ_DCF,https://www.nj.gov/dcf/about/divisions/ol/NJDCF-Licensed-Child-Care-Centers.pdf,2025-08-01,True,True,,,NONE
