name,slug,type,description,address,city,state,county,zip_code,phone,email,website,age_range_min,age_range_max,age_min_months,age_max_months,capacity,license_number,is_verified_by_gov,source,ages_served_raw,lat,lng
ALL MY CHILDREN DAY CARE & NURSERY SCHOOL,all-my-children-day-care-nursery-school-new-york-3219,school,,110 RIDGE STREET,New York,NY,Manhattan,10002,+12124666262,,www.allmychildrendaycare.com,2,5,24.0,60,59,73219,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
POLIS,polis-new-york-7702,school,,12 EAST   79 STREET,New York,NY,Manhattan,10075,+19173881710,,polis.school,3,5,36.0,60,0,DC37702,True,NYC_DOHMH,3 YEARS - 5 YEARS,,
"UTOPIA CHILDREN'S  CENTER, INC.",utopia-children-s-center-inc-new-york-1594,school,,236 WEST 129 STREET,New York,NY,Manhattan,10027,+12126637375,,,2,5,24.0,60,60,1594,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
RENAISSANCE VILLAGE LLC.,renaissance-village-llc-new-york-7707,school,,220 CABRINI BOULEVARD,New York,NY,Manhattan,10033,+12129287855,,WWW.RENVILLAGE.COM,2,5,24.0,60,29,7707,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
VIVVI 2 LLC,vivvi-2-llc-new-york-5233,school,,100 Church Street,New York,NY,Manhattan,10007,+12126020829,,www.vivvi.com,2,5,24.0,60,105,105233,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
NY KIDS CLUB,ny-kids-club-new-york-5209,camp,,369 3RD AVE,New York,NY,Manhattan,10016,+13473784801,,,0,16,,192,55,105209,True,NYC_DOHMH,0 YEARS - 16 YEARS,,
UNIVERSITY SETTLEMENT SOCIETY  OF NEW YORK,university-settlement-society-of-new-york-new-york-6822,daycare,,184 ELDRIDGE STREET,New York,NY,Manhattan,10002,+12124534511,,www.universitysettlement.org,0,2,,24,8,6822,True,NYC_DOHMH,0 YEARS - 2 YEARS,,
GYMTIME GYMNASTICS SUMMER CAMP,gymtime-gymnastics-summer-camp-new-york-9037,camp,,1520 YORK AVENUE,New York,NY,Manhattan,10028,+12128617732,,www.gymtime.net,0,16,,192,50,49037,True,NYC_DOHMH,0 YEARS - 16 YEARS,,
"HAMILTON MADISON HOUSE, INC.",hamilton-madison-house-inc-new-york-1709,school,,60 CATHERINE STREET,New York,NY,Manhattan,10038,+12129623408,,hmhonline.com,2,5,24.0,60,60,1709,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
"CATHEDRAL PARKWAY TOWERS PRESCHOOL, INC.",cathedral-parkway-towers-preschool-inc-new-york-4675,school,,125 WEST 109 STREET,New York,NY,Manhattan,10025,+12127490291,,www.cathedralparkwaytowerspreschool.org,2,5,24.0,60,45,4675,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
BRIGHT HORIZONS CHILDREN'S CENTERS LLC,bright-horizons-children-s-centers-llc-new-york-2117,daycare,,258 WEST 26TH STREET,New York,NY,Manhattan,10001,+12123664365,,WWW.BRIGHTHORIZONS.COM/chelsea,0,2,,24,44,102117,True,NYC_DOHMH,0 YEARS - 2 YEARS,,
THE FAMILY ANNEX INC.,the-family-annex-inc-new-york-4765,daycare,,560 WEST 113 STREET,New York,NY,Manhattan,10025,+12127493271,,www.familyannex.org,0,2,,24,11,4765,True,NYC_DOHMH,0 YEARS - 2 YEARS,,
ALL MY CHILDREN DAYCARE AND NURSERY SCHOOL,all-my-children-daycare-and-nursery-school-new-york-4018,school,,101 WEST 85 STREET,New York,NY,Manhattan,10024,+16468610664,,allmychildrendaycare.com,2,5,24.0,60,56,104018,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
THE BROWNING PRESCHOOL,the-browning-preschool-new-york-1599,school,,52 EAST 62 STREET,New York,NY,Manhattan,10065,+12128386280,,,3,5,36.0,60,36,DC1599,True,NYC_DOHMH,3 YEARS - 5 YEARS,,
SUNSHINE DAYCARE,sunshine-daycare-new-york-6518,school,,1595 LEXINGTON  AVENUE,New York,NY,Manhattan,10029,+12124442026,,WWW.SUNSHINENEWYORK.COM,2,5,24.0,60,72,86518,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
ST. BARTHOLOMEW COMMUNITY PRE-SCHOOL FOUNDATION,st-bartholomew-community-pre-school-foundation-new-york-4366,school,,109 EAST 50 STREET,New York,NY,Manhattan,10022,+12123780238,,www.stbarts.org/preschool,2,5,24.0,60,80,4366,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
BRIGHT HORIZONS AT WEST 63RD,bright-horizons-at-west-63rd-new-york-4312,school,,400 West 63 street,New York,NY,Manhattan,10069,+16462573420,,www.brighthorizons.com,2,5,24.0,60,55,104312,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
"BRIGHT HORIZONS CHILDREN'S CENTERS, INC.",bright-horizons-children-s-centers-inc-new-york-7680,daycare,,61 HAVEN AVE.,New York,NY,Manhattan,10032,+12129272723,,www.brighthorizons.com,0,2,,24,28,7680,True,NYC_DOHMH,0 YEARS - 2 YEARS,,
"THE EDUCTIONAL ALLIANCE, INC.",the-eductional-alliance-inc-new-york-6440,school,,344 EAST 14 STREET,New York,NY,Manhattan,10003,+12127804338,,www.14streety.org,2,5,24.0,60,88,6440,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
"BIRCH FAMILY SERVICES, INC.",birch-family-services-inc-new-york-5997,school,,554 FORT WASHINGTON AVENUE,New York,NY,Manhattan,10033,+12127405157,,,2,5,24.0,60,180,5997,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
"TUTOR TIME LEARNING CENTER, LLC",tutor-time-learning-center-llc-new-york-7193,daycare,,225 EAST 38TH STREET,New York,NY,Manhattan,10016,+12126828080,,tutortime.com,0,2,,24,44,7193,True,NYC_DOHMH,0 YEARS - 2 YEARS,,
"THE DAWNING VILLAGE, INC.",the-dawning-village-inc-new-york-6465,school,,2090 1 AVENUE,New York,NY,Manhattan,10029,+12123695313,,dawningvillage.org,2,5,24.0,60,105,6465,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
THE YOUNG MEN'S AND YOUNG WOMEN'S HEBREW ASSOCIATION,the-young-men-s-and-young-women-s-hebrew-association-new-york-1940,school,,1395 LEXINGTON AVENUE,New York,NY,Manhattan,10128,+12124155532,,www.92NY.ORG,2,5,24.0,60,171,1940,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
Lightbridge of Midtown Manhattan,lightbridge-of-midtown-manhattan-new-york-5422,school,,606 WEST   57 STREET,New York,NY,Manhattan,10019,+12122475300,,www.lightbridgeacademy.com,2,5,24.0,60,117,105422,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
STEPHEN WISE FREE SYNAGOGUE,stephen-wise-free-synagogue-new-york-4899,daycare,,30 WEST 68TH STREET,New York,NY,Manhattan,10023,+12128774050,,ecc.swfs.org,0,2,,24,20,4899,True,NYC_DOHMH,0 YEARS - 2 YEARS,,
THE MEDICAL CENTER NURSERY SCHOOL,the-medical-center-nursery-school-new-york-3053,school,,60 HAVEN AVENUE,New York,NY,Manhattan,10032,+12123047040,,www.mcns.org,2,5,24.0,60,60,3053,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
THE CHILDREN'S AID SOCIETY,the-children-s-aid-society-new-york-6226,school,,1724-26 MADISON AVENUE,New York,NY,Manhattan,10029,+12128310556,,www.childrensaidsociety.org,2,5,24.0,60,60,6226,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
