centername,legalname,building,street,borough,zipcode,phone,permitnumber,permitexp,status,agerange,maximumcapacity,dc_id,programtype,facilitytype,childcaretype,bin,url,datepermitted,actual,violationratepercent,violationavgratepercent,totaleducationalworkers,averagetotaleducationalworkers,publichealthhazardviolationrate,averagepublichealthhazardiolationrate,criticalviolationrate,avgcriticalviolationrate,inspectiondate,regulationsummary,violationstatus,inspectionsummaryresult,violationcategory,healthcodesubsection
ALL MY CHILDREN DAY CARE & NURSERY SCHOOL,ALL MY CHILDREN DAY CARE & NURSERY SCHOOL,110,RIDGE STREET,MANHATTAN,10002,212-466-6262,73219,2024-09-11T00:00:00.000,Permitted,2 YEARS - 5 YEARS,59,DC31943,PRESCHOOL,GDC,Child Care - Pre School,1004096,www.allmychildrendaycare.com,2014-09-11T00:00:00.000,Y,0,21.905,8,11.9769,0,6.1285,0,18.9541,2022-07-07T00:00:00.000,There were no new violations observed at the time of this inspection/visit.,N/A,Initial Annual Inspection - Passed inspection with no violations,,
POLIS,GUIDEPOST MONTESSORI AT MUSEUM MILE,12,EAST   79 STREET,MANHATTAN,10075,917-388-1710,,1900-01-01T00:00:00.000,Active,3 YEARS - 5 YEARS,0,DC37702,PRESCHOOL,SBCC,School Based Child Care,1041889,polis.school,,,50,45.1817,0,8.0094,0,23.3017,50,35.2291,2022-09-30T00:00:00.000,Child Medical record are DOHMH property when health care provider provided by DOHMH,CORRECTED,Initial Annual Inspection - Reinspection Required,GENERAL,43.17(f)
"UTOPIA CHILDREN'S  CENTER, INC.","UTOPIA CHILDREN'S CENTER, INC.",236,WEST 129 STREET,MANHATTAN,10027,212-663-7375,1594,2023-09-29T00:00:00.000,Permitted,2 YEARS - 5 YEARS,60,DC1323,PRESCHOOL,GDC,Child Care - Pre School,1081503,,2002-05-01T00:00:00.000,N,40,21.905,6,11.9769,0,6.1285,40,18.9541,2023-03-09T00:00:00.000,There were no new violations observed at the time of this inspection/visit.,N/A,Compliance Inspection of Open Violations - Passed inspection; Violations corrected at time of inspection,,
RENAISSANCE VILLAGE LLC.,RENAISSANCE VILLAGE LLC.,220,CABRINI BOULEVARD,MANHATTAN,10033,212-928-7855,7707,2023-02-02T00:00:00.000,Expired-In Renewal,2 YEARS - 5 YEARS,29,DC16889,PRESCHOOL,GDC,Child Care - Pre School,1064369,WWW.RENVILLAGE.COM,2007-02-02T00:00:00.000,Y,40,21.905,9,11.9769,0,6.1285,40,18.9541,2023-03-08T00:00:00.000,"Training in SIDS, Shaken Baby Syndrome and Safe Sleep practices Not provided to staff",CORRECTED,Initial Annual Inspection - Reinspection Required; Fines pending,CRITICAL,47.37(b)(4)
"NICHOLAS CARDELL DAY CARE CENTER, INC.","NICHOLAS CARDELL DAY CARE CENTER, INC.",84,VERMILYEA AVENUE,MANHATTAN,10034,212-942-6757,3081,2024-03-10T00:00:00.000,Permitted,,50,DC3022,PRESCHOOL,GDC,Child Care - Pre School,1064905,,2003-09-11T00:00:00.000,N,0,21.905,7,11.9769,0,6.1285,0,18.9541,2022-05-16T00:00:00.000,There were no new violations observed at the time of this inspection/visit.,N/A,Initial Annual Inspection - Passed inspection with no violations,,
VIVVI 2 LLC,VIVVI 2 LLC,100,Church Street,MANHATTAN,10007,212-602-0829,105233,2024-09-03T00:00:00.000,Permitted,2 YEARS - 5 YEARS,105,DC39282,PRESCHOOL,GDC,Child Care - Pre School,1001409,www.vivvi.com,2020-09-03T15:35:59.000,Y,0,21.905,19,11.9769,0,6.1285,0,18.9541,2021-05-19T00:00:00.000,There were no new violations observed at the time of this inspection/visit.,N/A,Initial Annual Inspection - Passed inspection with no violations,,
NY KIDS CLUB,"NY Kids ClubPNW Enterprises, LLC dba",369,3RD AVE,MANHATTAN,10016,347-378-4801,105209,2022-09-15T00:00:00.000,Expired-In Renewal,0 YEARS - 16 YEARS,55,DC39842,ALL AGE CAMP,Camp,Camp,1019864,,2020-08-19T12:02:42.000,Y,0,26.8868,0,1,0,14.2558,0,21.8553,2020-08-18T00:00:00.000,There were no new violations observed at the time of this inspection/visit.,N/A,Monitoring Inspection Non-Routine - Passed inspection with no violations,,
UNIVERSITY SETTLEMENT SOCIETY  OF NEW YORK,UNIVERSITY SETTLEMENT SOCIETY OF NEW YORK,184,ELDRIDGE STREET,MANHATTAN,10002,212-453-4511,6822,2022-03-23T00:00:00.000,Expired-In Renewal,0 YEARS - 2 YEARS,8,DC14874,INFANT TODDLER,GDC,Child Care - Infants/Toddlers,1005483,www.universitysettlement.org,2005-03-23T00:00:00.000,N,28.5714,17.4391,6,8.4034,0,4.9984,28.5714,15.3835,2022-01-06T00:00:00.000,There were no new violations observed at the time of this inspection/visit.,N/A,Initial Annual Inspection - Passed inspection with no violations,,
GYMTIME GYMNASTICS SUMMER CAMP,"GYMTIME/RHYTHM AND GLUES, INC.",1520,YORK AVENUE,MANHATTAN,10028,212-861-7732,49037,2022-09-15T00:00:00.000,Expired-In Renewal,0 YEARS - 16 YEARS,50,DC25402,ALL AGE CAMP,Camp,Camp,1050869,www.gymtime.net,2013-07-29T00:00:00.000,N,0,26.8868,0,1,0,14.2558,0,21.8553,2022-07-18T00:00:00.000,There were no new violations observed at the time of this inspection/visit.,N/A,Initial Annual Inspection - Passed inspection with no violations,,
"HAMILTON MADISON HOUSE, INC.","HAMILTON MADISON HOUSE, INC.",60,CATHERINE STREET,MANHATTAN,10038,212-962-3408,1709,2025-04-04T00:00:00.000,Permitted,2 YEARS - 5 YEARS,60,DC1280,PRESCHOOL,GDC,Child Care - Pre School,1077421,hmhonline.com,2002-12-23T00:00:00.000,N,0,21.905,6,11.9769,0,6.1285,0,18.9541,2022-07-12T00:00:00.000,There were no new violations observed at the time of this inspection/visit.,N/A,Initial Annual Inspection - Passed inspection with no violations,,
"CATHEDRAL PARKWAY TOWERS PRESCHOOL, INC.","CATHEDRAL PARKWAY TOWERS PRESCHOOL, INC",125,WEST 109 STREET,MANHATTAN,10025,212-749-0291,4675,2023-02-09T00:00:00.000,Expired-In Renewal,2 YEARS - 5 YEARS,45,DC14403,PRESCHOOL,GDC,Child Care - Pre School,1079468,www.cathedralparkwaytowerspreschool.org,2005-01-26T00:00:00.000,N,40,21.905,6,11.9769,0,6.1285,40,18.9541,2022-10-26T00:00:00.000,There were no new violations observed at the time of this inspection/visit.,N/A,Monitoring Inspection Non-Routine - Passed inspection with no violations,,
BRIGHT HORIZONS CHILDREN'S CENTERS LLC,BRIGHT HORIZONS CHILDREN'S CENTERS LLC,258,WEST 26TH STREET,MANHATTAN,10001,212-366-4365,102117,2022-01-11T00:00:00.000,Expired-In Renewal,0 YEARS - 2 YEARS,44,DC33083,INFANT TODDLER,GDC,Child Care - Infants/Toddlers,1088709,WWW.BRIGHTHORIZONS.COM/chelsea,2016-01-11T00:00:00.000,Y,16.6667,17.4391,10,8.4034,0,4.9984,16.6667,15.3835,2020-10-01T00:00:00.000,There were no new violations observed at the time of this inspection/visit.,N/A,Compliance Inspection of Open Violations - Previously cited violations corrected,,
THE FAMILY ANNEX INC.,THE FAMILY ANNEX INC.,560,WEST 113 STREET,MANHATTAN,10025,212-749-3271,4765,2023-05-11T00:00:00.000,Permitted,0 YEARS - 2 YEARS,11,DC14302,INFANT TODDLER,GDC,Child Care - Infants/Toddlers,1057013,www.familyannex.org,2004-07-31T00:00:00.000,N,0,17.4391,11,8.4034,0,4.9984,0,15.3835,2023-03-07T00:00:00.000,There were no new violations observed at the time of this inspection/visit.,N/A,Initial Annual Inspection - Passed inspection with no violations,,
ALL MY CHILDREN DAYCARE AND NURSERY SCHOOL,ALL MY CHILDREN DAYCARE AND NURSERY SCHOOL,101,WEST 85 STREET,MANHATTAN,10024,646-861-0664,104018,2023-05-18T00:00:00.000,Permitted,2 YEARS - 5 YEARS,56,DC33249,PRESCHOOL,GDC,Child Care - Pre School,1032161,allmychildrendaycare.com,2017-05-18T19:13:49.000,Y,0,21.905,13,11.9769,0,6.1285,0,18.9541,2023-03-15T00:00:00.000,There were no new violations observed at the time of this inspection/visit.,N/A,Initial Annual Inspection - Passed inspection with no violations,,
THE BROWNING PRESCHOOL,THE BROWNING SCHOOL,52,EAST 62 STREET,MANHATTAN,10065,212-838-6280,,2115-01-23T00:00:00.000,Active,3 YEARS - 5 YEARS,36,DC1599,PRESCHOOL,SBCC,School Based Child Care,1040857,,,,0,45.1817,5,8.0094,0,23.3017,0,35.2291,2020-11-10T00:00:00.000,There were no new violations observed at the time of this inspection/visit.,N/A,Monitoring Inspection Non-Routine - Passed inspection with no violations,,
SUNSHINE DAYCARE,"SUNSHINE LC OF LEXINGTON, LLC",1595,LEXINGTON  AVENUE,MANHATTAN,10029,212-444-2026,86518,2025-04-28T00:00:00.000,Permitted,2 YEARS - 5 YEARS,72,DC26079,PRESCHOOL,GDC,Child Care - Pre School,1085680,WWW.SUNSHINENEWYORK.COM,2015-04-28T00:00:00.000,Y,0,21.905,20,11.9769,0,6.1285,0,18.9541,2021-02-11T00:00:00.000,There were no new violations observed at the time of this inspection/visit.,N/A,Initial Annual Inspection - Passed inspection with no violations,,
ST. BARTHOLOMEW COMMUNITY PRE-SCHOOL FOUNDATION,ST. BARTHOLOMEW COMMUNITY PRE-SCHOOL FOUNDATION,109,EAST 50 STREET,MANHATTAN,10022,212-378-0238,4366,2024-09-14T00:00:00.000,Permitted,2 YEARS - 5 YEARS,80,DC2646,PRESCHOOL,GDC,Child Care - Pre School,1036450,www.stbarts.org/preschool,2004-05-17T00:00:00.000,N,0,21.905,15,11.9769,0,6.1285,0,18.9541,2023-01-26T00:00:00.000,"Plumbing and plumbing fixtures Not properly connected, vented, drained; Not installed and maintained in commercial building",CORRECTED,Initial Annual Inspection - Reinspection Not Required,GENERAL,131.09(c)
BRIGHT HORIZONS AT WEST 63RD,BRIGHT HORIZONS CHILDREN'S CENTERS LLC,400,West 63 street,MANHATTAN,10069,646-257-3420,104312,2023-12-12T00:00:00.000,Permitted,2 YEARS - 5 YEARS,55,DC35590,PRESCHOOL,GDC,Child Care - Pre School,1088271,www.brighthorizons.com,2017-12-12T11:33:24.000,Y,0,21.905,7,11.9769,0,6.1285,0,18.9541,2021-12-28T00:00:00.000,At time of inspection floors/walls ceilings were observed Not maintained; in disrepair or covered in a toxic finish.,CORRECTED,,GENERAL,47.41(j)
"BRIGHT HORIZONS CHILDREN'S CENTERS, INC.","BRIGHT HORIZON'S CHILDRENS CENTERS, INC.",61,HAVEN AVE.,MANHATTAN,10032,212-927-2723,7680,2022-02-01T00:00:00.000,Expired-In Renewal,0 YEARS - 2 YEARS,28,DC16776,INFANT TODDLER,GDC,Child Care - Infants/Toddlers,1063405,www.brighthorizons.com,2006-11-22T00:00:00.000,Y,0,17.4391,9,8.4034,0,4.9984,0,15.3835,2022-05-05T00:00:00.000,There were no new violations observed at the time of this inspection/visit.,N/A,Initial Annual Inspection - Passed inspection; Violations corrected at time of inspection,,
"THE EDUCTIONAL ALLIANCE, INC.","THE EDUCATIONAL ALLIANCE, INC'",344,EAST 14 STREET,MANHATTAN,10003,212-780-4338,6440,2023-07-21T00:00:00.000,Permitted,2 YEARS - 5 YEARS,88,DC3070,PRESCHOOL,GDC,Child Care - Pre School,1006521,www.14streety.org,2003-07-18T00:00:00.000,N,0,21.905,21,11.9769,0,6.1285,0,18.9541,2023-03-28T00:00:00.000,There were no new violations observed at the time of this inspection/visit.,N/A,Initial Annual Inspection - Passed inspection with no violations,,
"BIRCH FAMILY SERVICES, INC.","BIRCH FAMILY SERVICES, INC,",554,FORT WASHINGTON AVENUE,MANHATTAN,10033,212-740-5157,5997,2024-03-13T00:00:00.000,Permitted,2 YEARS - 5 YEARS,180,DC3081,PRESCHOOL,GDC,Child Care - Pre School,1064395,,2006-03-25T00:00:00.000,N,0,21.905,36,11.9769,0,6.1285,0,18.9541,2022-02-03T00:00:00.000,There were no new violations observed at the time of this inspection/visit.,N/A,Initial Annual Inspection - Passed inspection with no violations,,
